Name,Appointed By,Pres Party,Appointed,Died/Retired,Died or Retired?,Retired Party,Length in office,Length between Judge and successor
Chief Justice,,,,,,,,
John Jay,George Washington,None,10/19/1789,6/29/1795,Retired,None,2079,44
John Rutledge,George Washington,None,8/12/1795,12/28/1795,Retired,None,138,71
Oliver Ellsworth,George Washington,None,3/8/1796,12/15/1800,Retired,Federalist,1742,51
John Marshall,John Adams,Federalist,2/4/1801,7/6/1835,Died,Democrat,12570,266
Roger B Taney,Andrew Jackson,Democrat,3/28/1836,10/12/1864,Died,National Union,10425,64
Salmon P Chase,Abraham Lincoln,National Union,12/15/1864,5/7/1873,Died,Republican,3065,259
Morrison Waite,Ulysses S Grant,Republican,1/21/1874,3/23/1888,Died,Democrat,5175,119
Melville Fuller,Grover Cleveland,Democrat,7/20/1888,7/4/1910,Died,Republican,8018,168
Edward Douglass White,William H Taft,Republican,12/19/1910,5/19/1921,Died,Republican,3804,53
William H Taft,Warren G Harding,Republican,7/11/1921,2/3/1930,Retired,Republican,3129,21
Charles Evans Hughes,Herbert Hoover,Republican,2/24/1930,6/30/1941,Retired,Democrat,4144,3
Harlan F Stone,Franklin D Roosevelt,Democrat,7/3/1941,4/22/1946,Died,Democrat,1754,60
Fred Vinson,Harry S Truman,Democrat,6/21/1946,9/8/1953,Died,Republican,2636,27
Earl Warren,Dwight D Eisenhower,Republican,10/5/1953,6/23/1969,Retired,Republican,5740,0
Warren Burger,Richard Nixon,Republican,6/23/1969,9/26/1986,Retired,Republican,6304,0
William Rehnquist,Ronald Reagan,Republican,9/26/1986,9/3/2005,Died,Republican,6917,26
John Roberts,George W Bush,Republican,9/29/2005,In Office,In Office,,,
,,,,,,,,
Associates,,,,,,,,
Brett Kavanaugh,Donald Trump,Republican,10/6/2018,In Office,In Office,,,
Anthony Kennedy,Ronald Reagan,Republican,2/18/1988,July 31 2018,Retired,Republican,11121,67
Lewis F Powell Jr,Richard Nixon,Republican,1/7/1972,6/26/1987,Retired,Republican,5649,237
Hugo Black,Franklin D Roosevelt,Democrat,8/18/1937,9/17/1971,Retired,Republican,12448,112
Willis Van Devanter,William Taft,Republican,12/16/1910,6/2/1937,Retired,Democrat,9665,77
Edward Douglass White,Grover Cleveland,Republican,3/12/1894,12/18/1910,Retired/Promoted,Republican,6124,-2
Samuel Blachford,Chester Arthur,Republican,3/22/1882,7/7/1893,Died,Republican,4125,248
Ward Hunt,Ulysses S Grant,Republican,12/11/1872,1/27/1882,Retired,Republican,3334,54
Samuel Nelson,John Tyler,Whig,2/14/1845,11/28/1872,Retired,Republican,10149,13
Smith Thompson,James Monroe,Democratic-Republican,9/1/1823,12/18/1843,Died,Whig,7413,424
H Brockholst Livingston,Thomas Jefferson,Democratic-Republican,11/10/1806,3/18/1823,Died,Democratic-Republican,5972,167
William Paterson,George Washington,None,3/4/1793,9/9/1806,Died,Democratic-Republican,4936,62
Thomas Johnson,George Washington,None,8/6/1792,1/16/1793,Retired,None,163,47
John Rutledge,George Washington,None,2/15/1790,3/5/1791,Retired/Promoted,None,383,520
,,,,,,,,
Neil Gorsuch,Donald Trump,Republican,4/10/2017,In Office,In Office,,,
Antonin Scalia,Ronald Reagan,Republican,9/26/1986,2/13/2016,Died,Republican,10732,422
William Rehnquist,Richard Nixon,Republican,1/27/1972,9/26/1986,Retired/Promoted,Republican,5356,0
John Harlan,Dwight D Eisenhower,Republican,3/17/1955,9/23/1971,Retired,Republican,6034,126
Robert H Jackson,Franklin D Roosevelt,Democrat,7/11/1941,10/9/1954,Died,Republican,4838,159
Harlan F Stone,Calvin Coolidge,Republican,3/2/1925,7/3/1941,Retired/Promoted,Democrat,5967,8
Joseph McKenna,William McKinley,Republican,1/21/1898,1/5/1925,Retired,Republican,9845,56
Stephen Johnson Field,Abraham Lincoln,Republican,5/20/1863,12/1/1897,Retired,Republican,12614,51
,,,,,,,,
Elena Kagan,Barack Obama,Democrat,7/7/2010,In Office,In Office,,,
John Paul Stevens,Gerald Ford,Republican,12/17/1975,6/29/2010,Retired,Democrat,12613,8
William O Douglas,Franklin D Roosevelt,Democrat,4/17/1939,11/12/1975,Retired,Republican,13358,35
Louis Brandeis,Woodrow Wilson,Democrat,6/1/1916,2/13/1939,Retired,Democrat,8292,63
Joseph Lamar,William Taft,Republican,12/17/1910,1/2/1916,Died,Democrat,1842,151
William Moody,Theodore Roosevelt,Republican,12/12/1906,11/20/1910,Retired,Republican,1439,27
Henry Billings Brown,Benjamin Harrison,Republican,12/29/1890,5/28/1906,Retired,Republican,5628,198
Samuel Freeman Miller,Abraham Lincoln,Republican,7/16/1862,10/13/1890,Died,Republican,10316,77
Peter Daniel,Martin Van Buren,Democrat,1/10/1842,5/31/1860,Died,Republican,6716,776
Philip Barbour,Andrew Jackson,Democrat,5/12/1836,2/25/1841,Died,Democrat,1750,319
Gabriel Duvall,James Madison,Democratic-Republican,11/18/1811,1/12/1835,Retired,Democrat,8456,486
Samuel Chase,George Washington,None,1/27/1796,6/19/1811,Died,Democratic-Republican,5621,152
John Blair,George Washington,None,2/2/1790,10/25/1795,Retired,None,2091,94
,,,,,,,,
Sonia Sotomayor,Barack Obama,Democrat,8/8/2009,In Office,In Office,,,
David Souter,George HW Bush,Republican,10/2/1990,6/29/2009,Retired,Democrat,6845,40
William J Brennan Jr,Dwight D Eisenhower,Republican,10/15/1956,7/20,Retired,Republican,12331,74
Sherman Minton,Harry Truman,Democrat,10/5/1949,10/15/1956,Retired,Republican,2567,0
Wiley Blount Rutledge,Franklin D Roosevelt,Democrat,2/11/1943,9/10/1949,Died,Democrat,2403,25
James F Byrnes,Franklin D Roosevelt,Democrat,6/25/1941,10/3/1942,Retired,Democrat,465,131
James McReynolds,Woodrow Wilson,Democrat,8/29/1914,1/31/1941,Retired,Democrat,9652,145
Horace Lurton,William H Taft,Republican,12/20/1909,7/12/1914,Died,Democrat,1665,48
Rufus Peckham,Grover Cleveland,Democrat,12/9/1895,10/24/1909,Died,Republican,5067,57
Howell Jackson,Benjamin Harrison,Republican,2/18/1893,8/8/1895,Died,Democrat,901,123
Lucius Lamar,Grover Cleveland,Democrat,1/16/1888,1/23/1893,Died,Republican,1834,26
William Woods,Rutherford Hayes,Republican,12/21/1880,5/14/1887,Died,Democrat,2335,247
William Strong,Ulysses S Grant,Republican,2/18/1870,12/14/1880,Retired,Republican,3952,7
Robert Grier,James K Polk,Democrat,8/4/1846,1/31/1870,Retired,Republican,8581,18
Henry Baldwin,Andrew Jackson,Democrat,1/6/1830,4/21/1844,Died,Democrat,5219,835
